|Partidos|Match date|Matches|Teams|Goals|Chances, % of conversion|Shots|Shots on target|Passes|Accurate passes, %|Key passes|Key passes accurate|Lost balls in own half|Team pressing|Pressing efficiency, %|Ball possession, %|Entrances to the opposition half|Entrances to the final third|Entrance to the penalty box|Average duration of ball possession, min|Ball possessions, quantity|Ball possession, sec|Type of match|Competition|resultados
0|Real Madrid 5 : 1 Celtic 2022-11-02|2022-11-02|Real Madrid 5 : 1 Celtic|RM|5|36.0|23|11|780|91.0|21|10|12|12|42.0|62.0|57|44|27|26.15|83|2170.69|Group Stage|Champions League|Victory
1|Real Madrid 5 : 1 Celtic 2022-11-02|2022-11-02|Real Madrid 5 : 1 Celtic|CEL|1|20.0|14|8|428|86.0|6|2|10|20|55.0|38.0|52|39|11|15.66|84|1315.64|Group Stage|Champions League|Loss
2|Shakhtar D. 0 : 4 RB Leipzig 2022-11-02|2022-11-02|Shakhtar D. 0 : 4 RB Leipzig|SD|0|0.0|5|1|502|88.0|6|3|23|13|15.0|51.0|39|21|6|20.83|81|1687.54|Group Stage|Champions League|Loss
3|Shakhtar D. 0 : 4 RB Leipzig 2022-11-02|2022-11-02|Shakhtar D. 0 : 4 RB Leipzig|RL|4|67.0|12|7|544|89.0|8|5|12|22|36.0|49.0|48|31|13|21.08|76|1601.7|Group Stage|Champions League|Victory
4|Chelsea 2 : 1 Dinamo Zagreb 2022-11-02|2022-11-02|Chelsea 2 : 1 Dinamo Zagreb|CHE|2|17.0|19|6|648|90.0|11|6|1|25|48.0|59.0|80|53|27|18.16|103|1870.9|Group Stage|Champions League|Victory
5|Chelsea 2 : 1 Dinamo Zagreb 2022-11-02|2022-11-02|Chelsea 2 : 1 Dinamo Zagreb|DZ|1|50.0|7|2|444|83.0|1|0|21|14|29.0|41.0|35|23|7|14.85|87|1292.04|Group Stage|Champions League|Loss
6|Milan 4 : 0 RB Salzburg 2022-11-02|2022-11-02|Milan 4 : 0 RB Salzburg|MIL|4|50.0|14|8|410|80.0|3|3|21|11|27.0|52.0|49|33|21|15.78|95|1499.25|Group Stage|Champions League|Victory
7|Milan 4 : 0 RB Salzburg 2022-11-02|2022-11-02|Milan 4 : 0 RB Salzburg|RS|0|0.0|13|5|433|83.0|5|4|7|22|36.0|48.0|64|37|18|14.05|99|1391.31|Group Stage|Champions League|Loss
8|Man City 3 : 1 Sevilla 2022-11-02|2022-11-02|Man City 3 : 1 Sevilla|MC|3|25.0|18|7|678|91.0|20|10|0|36|56.0|63.0|69|50|25|29.73|77|2288.84|Group Stage|Champions League|Victory
9|Man City 3 : 1 Sevilla 2022-11-02|2022-11-02|Man City 3 : 1 Sevilla|SEV|1|20.0|6|2|433|89.0|5|4|28|10|0.0|37.0|21|11|8|18.98|71|1347.41|Group Stage|Champions League|Loss
10|Kobenhavn 1 : 1 Dortmund 2022-11-02|2022-11-02|Kobenhavn 1 : 1 Dortmund|KOB|1|11.0|19|9|493|85.0|8|4|17|34|44.0|41.0|53|40|24|16.26|97|1577.66|Group Stage|Champions League|Draw
11|Kobenhavn 1 : 1 Dortmund 2022-11-02|2022-11-02|Kobenhavn 1 : 1 Dortmund|DOR|1|17.0|13|1|648|86.0|8|4|18|20|75.0|59.0|61|35|16|21.47|105|2254.23|Group Stage|Champions League|Draw
12|Juventus 1 : 2 PSG 2022-11-02|2022-11-02|Juventus 1 : 2 PSG|JUV|1|25.0|15|2|592|89.0|5|3|8|22|36.0|51.0|62|44|24|23.75|81|1923.52|Group Stage|Champions League|Loss
13|Juventus 1 : 2 PSG 2022-11-02|2022-11-02|Juventus 1 : 2 PSG|PSG|2|50.0|7|5|652|92.0|3|0|22|5|20.0|49.0|31|22|8|23.34|79|1843.92|Group Stage|Champions League|Victory
14|Maccabi Haifa 1 : 6 Benfica 2022-11-02|2022-11-02|Maccabi Haifa 1 : 6 Benfica|MH|1|50.0|8|2|473|84.0|4|1|16|22|36.0|42.0|46|32|13|17.58|87|1529.28|Group Stage|Champions League|Loss
15|Maccabi Haifa 1 : 6 Benfica 2022-11-02|2022-11-02|Maccabi Haifa 1 : 6 Benfica|BEN|6|60.0|17|9|640|91.0|6|5|13|22|32.0|58.0|60|38|21|22.61|93|2103.03|Group Stage|Champions League|Victory
16|Porto 2 : 1 Atletico 2022-11-01|2022-11-01|Porto 2 : 1 Atletico|POR|2|22.0|13|8|495|86.0|11|10|13|18|44.0|51.0|52|38|17|15.93|102|1624.56|Group Stage|Champions League|Victory
17|Porto 2 : 1 Atletico 2022-11-01|2022-11-01|Porto 2 : 1 Atletico|ATL|1|20.0|11|5|501|84.0|10|4|18|24|38.0|49.0|57|43|13|16.14|95|1532.94|Group Stage|Champions League|Loss
18|Bayer 04 0 : 0 Brugge 2022-11-01|2022-11-01|Bayer 04 0 : 0 Brugge|B0|0|0.0|13|3|561|87.0|9|4|12|22|55.0|53.0|68|44|19|20.17|98|1977.13|Group Stage|Champions League|Draw
19|Bayer 04 0 : 0 Brugge 2022-11-01|2022-11-01|Bayer 04 0 : 0 Brugge|BRU|0|0.0|7|1|483|82.0|5|0|14|23|13.0|47.0|41|22|8|18.38|94|1727.83|Group Stage|Champions League|Draw
20|Liverpool 2 : 0 Napoli 2022-11-01|2022-11-01|Liverpool 2 : 0 Napoli|LIV|2|33.0|14|6|521|83.0|6|3|11|24|46.0|54.0|53|43|21|17.6|97|1706.91|Group Stage|Champions League|Victory
21|Liverpool 2 : 0 Napoli 2022-11-01|2022-11-01|Liverpool 2 : 0 Napoli|NAP|0|0.0|9|2|468|82.0|2|1|20|20|35.0|46.0|49|34|12|14.65|101|1479.77|Group Stage|Champions League|Loss
22|Rangers 1 : 3 Ajax 2022-11-01|2022-11-01|Rangers 1 : 3 Ajax|RAN|1|20.0|8|4|474|84.0|6|1|14|23|35.0|46.0|58|46|13|15.82|102|1613.37|Group Stage|Champions League|Loss
23|Rangers 1 : 3 Ajax 2022-11-01|2022-11-01|Rangers 1 : 3 Ajax|AJA|3|33.0|13|7|573|88.0|9|6|18|30|50.0|54.0|49|34|17|21.33|90|1919.36|Group Stage|Champions League|Victory
24|Bayern 2 : 0 Inter 2022-11-01|2022-11-01|Bayern 2 : 0 Inter|BAY|2|25.0|19|8|637|91.0|15|4|16|27|56.0|60.0|69|53|20|21.66|99|2144.49|Group Stage|Champions League|Victory
25|Bayern 2 : 0 Inter 2022-11-01|2022-11-01|Bayern 2 : 0 Inter|INT|0|0.0|7|4|440|82.0|6|3|28|19|42.0|40.0|49|33|10|14.25|100|1425.38|Group Stage|Champions League|Loss
26|Viktoria Plzen 2 : 4 Barcelona 2022-11-01|2022-11-01|Viktoria Plzen 2 : 4 Barcelona|VP|2|22.0|19|8|241|73.0|8|5|16|19|37.0|27.0|51|35|19|10.55|84|886.6|Group Stage|Champions League|Loss
27|Viktoria Plzen 2 : 4 Barcelona 2022-11-01|2022-11-01|Viktoria Plzen 2 : 4 Barcelona|BAR|4|80.0|11|7|773|91.0|12|6|13|5|40.0|73.0|59|35|16|26.34|90|2370.72|Group Stage|Champions League|Victory
28|Sporting CP 1 : 2 E. Frankfurt 2022-11-01|2022-11-01|Sporting CP 1 : 2 E. Frankfurt|SC|1|50.0|3|2|500|82.0|3|1|22|19|37.0|49.0|50|31|11|15.92|101|1608.22|Group Stage|Champions League|Loss
29|Sporting CP 1 : 2 E. Frankfurt 2022-11-01|2022-11-01|Sporting CP 1 : 2 E. Frankfurt|EF|2|50.0|6|4|567|81.0|6|0|9|25|36.0|51.0|63|39|11|17.29|96|1659.72|Group Stage|Champions League|Victory
30|Marseille 1 : 2 Tottenham 2022-11-01|2022-11-01|Marseille 1 : 2 Tottenham|MAR|1|14.0|14|5|729|88.0|4|3|10|18|44.0|62.0|72|53|20|23.53|101|2376.89|Group Stage|Champions League|Loss
31|Marseille 1 : 2 Tottenham 2022-11-01|2022-11-01|Marseille 1 : 2 Tottenham|TOT|2|50.0|5|3|415|85.0|7|3|18|15|27.0|38.0|45|26|7|15.49|94|1456.09|Group Stage|Champions League|Victory
32|Brugge 0 : 4 Porto 2022-10-26|2022-10-26|Brugge 0 : 4 Porto|BRU|0|0.0|7|4|452|81.0|9|4|11|9|67.0|56.0|61|39|17|14.9|101|1505.0|Group Stage|Champions League|Loss
33|Brugge 0 : 4 Porto 2022-10-26|2022-10-26|Brugge 0 : 4 Porto|POR|4|36.0|13|9|365|78.0|16|9|17|16|31.0|44.0|49|28|17|12.84|92|1181.42|Group Stage|Champions League|Victory
34|Inter 4 : 0 Viktoria Plzen 2022-10-26|2022-10-26|Inter 4 : 0 Viktoria Plzen|INT|4|29.0|22|9|633|89.0|22|14|12|13|77.0|62.0|70|53|26|21.84|92|2008.97|Group Stage|Champions League|Victory
35|Inter 4 : 0 Viktoria Plzen 2022-10-26|2022-10-26|Inter 4 : 0 Viktoria Plzen|VP|0|0.0|5|1|369|82.0|1|0|17|13|15.0|38.0|53|36|7|13.81|90|1243.18|Group Stage|Champions League|Loss
36|Napoli 3 : 0 Rangers 2022-10-26|2022-10-26|Napoli 3 : 0 Rangers|NAP|3|21.0|13|7|805|92.0|15|11|20|29|62.0|63.0|50|33|23|26.87|85|2284.09|Group Stage|Champions League|Victory
37|Napoli 3 : 0 Rangers 2022-10-26|2022-10-26|Napoli 3 : 0 Rangers|RAN|0|0.0|8|2|458|84.0|4|3|15|22|41.0|37.0|51|30|10|13.87|97|1345.31|Group Stage|Champions League|Loss
38|Ajax 0 : 3 Liverpool 2022-10-26|2022-10-26|Ajax 0 : 3 Liverpool|AJA|0|0.0|10|1|554|85.0|6|3|14|16|38.0|51.0|56|34|14|16.78|107|1795.51|Group Stage|Champions League|Loss
39|Ajax 0 : 3 Liverpool 2022-10-26|2022-10-26|Ajax 0 : 3 Liverpool|LIV|3|50.0|11|5|576|88.0|11|5|17|27|37.0|49.0|48|31|13|19.13|91|1741.1|Group Stage|Champions League|Victory
40|Atletico 2 : 2 Bayer 04 2022-10-26|2022-10-26|Atletico 2 : 2 Bayer 04|ATL|2|17.0|24|12|734|87.0|10|4|14|20|80.0|63.0|82|64|26|20.6|115|2369.41|Group Stage|Champions League|Draw
41|Atletico 2 : 2 Bayer 04 2022-10-26|2022-10-26|Atletico 2 : 2 Bayer 04|B0|2|29.0|13|7|401|82.0|7|4|21|14|21.0|37.0|39|27|12|14.51|94|1364.19|Group Stage|Champions League|Draw
