|Teams|Competition|Goals|Ball possession, sec
0|AJA|Ligue 1|0.88|1358.98
1|ALA|LaLiga|0.92|1230.94
2|ALM|LaLiga|1.06|1425.27
3|AMI|Ligue 1|0.94|1456.84
4|ANG|Ligue 1|1.08|1527.55
5|ARM|Bundesliga|0.78|1393.45
6|ARS|Premier League|1.69|1773.39
7|ATA|Serie A|2.11|1775.76
8|ATH|LaLiga|1.17|1494.65
9|ATL|LaLiga|1.56|1565.81
10|AUG|Bundesliga|1.25|1332.1
11|AUX|Ligue 1|0.94|1520.21
12|AV|Premier League|1.27|1420.51
13|B0|Bundesliga|1.91|1896.7
14|BAR|LaLiga|2.17|2122.61
15|BAY|Bundesliga|2.87|2134.09
16|BEN|Serie A|1.05|1349.04
17|BM|Bundesliga|1.77|1718.77
18|BOC|Bundesliga|1.06|1429.96
19|BOL|Serie A|1.28|1548.47
20|BOR|Ligue 1|1.18|1624.13
21|BOU|Premier League|1.21|1401.74
22|BRE|Ligue 1|1.25|1553.03
23|BRF|Premier League|1.39|1348.53
24|BRI|Premier League|1.11|1643.86
25|BRS|Serie A|0.92|1285.18
26|BUR|Premier League|1.02|1269.49
27|CAD|LaLiga|0.89|1224.95
28|CAE|Ligue 1|0.76|1403.24
29|CAG|Serie A|1.09|1480.64
30|CC|Premier League|0.89|1138.18
31|CEL|LaLiga|1.21|1614.11
32|CHE|Premier League|1.69|1990.15
33|CHI|Serie A|0.66|1412.96
34|CLE|Ligue 1|1.05|1599.45
35|CP|Premier League|1.12|1451.76
36|CRE|Serie A|0.69|1341.4
37|CRO|Serie A|1.18|1497.69
38|DIJ|Ligue 1|0.8|1529.1
39|DOR|Bundesliga|2.32|1964.06
40|DUS|Bundesliga|1.25|1429.44
41|EF|Bundesliga|1.75|1608.17
42|EIB|LaLiga|1.0|1490.4
43|ELC|LaLiga|0.91|1453.26
44|EMP|Serie A|1.25|1521.6
45|ESP|LaLiga|1.03|1440.1
46|EVE|Premier League|1.19|1481.85
47|FIO|Serie A|1.33|1641.51
48|FRO|Serie A|0.76|1355.57
49|FUL|Premier League|0.97|1566.38
50|GEN|Serie A|1.05|1470.17
51|GET|LaLiga|0.99|1236.26
52|GIR|LaLiga|1.13|1502.87
53|GRA|LaLiga|1.25|1304.96
54|GUI|Ligue 1|0.74|1446.42
55|H9|Bundesliga|0.91|1526.44
56|HB|Bundesliga|1.28|1476.5
57|HOF|Bundesliga|1.69|1686.77
58|HUD|Premier League|0.57|1539.89
59|HUE|LaLiga|1.01|1463.79
60|HV|Serie A|1.29|1484.42
61|INT|Serie A|2.06|1831.56
62|JUV|Serie A|1.81|1799.52
63|KOL|Bundesliga|1.35|1539.67
64|LAZ|Serie A|1.79|1745.74
65|LEC|Serie A|1.24|1410.94
66|LEG|LaLiga|0.88|1307.05
67|LEI|Premier League|1.61|1653.57
68|LEN|Ligue 1|1.57|1691.08
69|LEV|LaLiga|1.34|1426.47
70|LIL|Ligue 1|1.54|1697.54
71|LIV|Premier League|2.19|2030.75
72|LOR|Ligue 1|1.22|1428.99
73|LU|Premier League|1.39|1587.68
74|LYO|Ligue 1|1.8|1857.09
75|M0|Bundesliga|1.31|1423.77
76|MAL|LaLiga|0.99|1392.9
77|MAR|Ligue 1|1.58|1794.34
